City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
24,Kieta,PG,82.06,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
37,Mount Gambier,AU,90.72,light rain,-37.8333,140.7667,The Commodore
39,Hithadhoo,MV,81.63,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
49,Ambon,ID,91.54,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
56,Gizo,SB,83.89,overcast clouds,-8.103,156.8419,Imagination Island
70,Namatanai,PG,85.82,light rain,-3.6667,152.4333,Seagulls Inn Namatani
86,Pundaguitan,PH,81.03,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
99,Kavieng,PG,84.0,light rain,-2.5744,150.7967,Nusa Island Retreat
105,Codrington,AU,91.87,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
108,Vaini,TO,81.21,overcast clouds,-21.2,-175.2,Keleti Beach Resort
116,Yeppoon,AU,89.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
120,Port Blair,IN,80.64,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
124,Kloulklubed,PW,82.4,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
128,Biak,ID,82.56,overcast clouds,-0.9131,122.8766,Penginapan Kim
133,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
138,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
149,Port Hedland,AU,89.65,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
153,Pozo Colorado,PY,88.63,light rain,-23.4923,-58.7972,Hospedaje la Amistad
154,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
159,Alyangula,AU,86.88,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
167,Koumac,NC,83.07,broken clouds,-20.5667,164.2833,Le Monitel
178,Nelson Bay,AU,84.29,clear sky,-32.7167,152.15,Mantra Nelson Bay
183,Buala,SB,82.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
195,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
198,Dingle,PH,83.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
200,Butaritari,KI,82.09,light rain,3.0707,172.7902,Isles Sunset Lodge
203,Faanui,PF,81.09,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
218,Bengkulu,ID,80.35,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
221,Banda Aceh,ID,81.37,scattered clouds,5.5577,95.3222,Sulthan Hotel International
232,Madang,PG,86.74,light rain,-5.2246,145.7966,Comfort Inn Hotel
258,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
268,Caucaia,BR,82.04,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
279,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
286,Rantepao,ID,81.14,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
289,Merauke,ID,83.98,overcast clouds,-8.4667,140.3333,
310,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
334,Samarai,PG,84.96,overcast clouds,-10.6167,150.6667,Nuli Sapi
344,Port Moresby,PG,87.91,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
350,San Pedro,PH,86.32,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
352,Bonito,BR,83.35,overcast clouds,-21.1211,-56.4819,Marruá Hotel
371,Katherine,AU,88.12,light rain,-14.4667,132.2667,Pine Tree Motel
377,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
384,Nakhon Nayok,TH,86.99,light rain,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
405,Balikpapan,ID,86.99,few clouds,-1.2675,116.8289,ibis Balikpapan
411,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
415,Sola,VU,82.56,overcast clouds,-13.8833,167.55,Leumerus Bungalows
417,Ca Mau,VN,82.09,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
418,Dumai,ID,80.8,overcast clouds,1.6833,101.45,Grand Zuri Dumai
437,Amahai,ID,87.8,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
443,Lorengau,PG,83.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
444,Labuan,MY,80.76,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
447,Flinders,AU,82.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
450,Srandakan,ID,83.35,overcast clouds,-7.9386,110.2506,Puri Brata
455,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
459,Pilar,BR,80.53,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
461,Moerai,PF,80.47,overcast clouds,-22.4333,-151.3333,Le Manotel
465,Isangel,VU,83.41,heavy intensity rain,-19.55,169.2667,Tanna Lodge
478,Champerico,GT,80.04,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
499,Santa Cruz,BO,80.56,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
511,Lantawan,PH,81.05,few clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
517,Indramayu,ID,81.91,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
522,Gambela,ET,82.13,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
531,Port-Gentil,GA,80.11,overcast clouds,-0.7193,8.7815,Fengshui Residence
533,Byron Bay,AU,80.55,clear sky,-28.65,153.6167,Backpackers Inn
536,Vaitape,PF,81.09,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
539,Poum,NC,81.03,scattered clouds,-20.2333,164.0167,Gîte kajeon
554,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
564,Camacari,BR,80.37,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
567,Katubao,PH,86.25,broken clouds,5.8892,124.8294,IML Ecopark
572,Karratha,AU,88.81,clear sky,-20.7377,116.8463,ibis Styles Karratha
591,Det Udom,TH,81.25,few clouds,14.906,105.0784,Chatsuda Resort
601,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
604,Coxim,BR,81.5,overcast clouds,-18.5067,-54.76,Hotel Avenida
609,Lakatoro,VU,86.58,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
614,Swan Hill,AU,92.71,clear sky,-35.3378,143.5544,Lazy River Motor Inn
633,Kilindoni,TZ,80.01,overcast clouds,-7.9139,39.6668,Bustani B&B
634,Porto Belo,BR,82.38,moderate rain,-27.1578,-48.5531,Costa Verde Beach Hotel
641,Waingapu,ID,85.75,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
655,Vanimo,PG,83.48,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
661,Nhulunbuy,AU,86.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
667,Ban Dung,TH,80.8,clear sky,17.699,103.2596,Heuan Na Khee
680,Batemans Bay,AU,86.2,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
