City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lebu,CL,-37.6167,-73.65,57.97,90,1,8.77,clear sky
1,Bluff,NZ,-46.6,168.3333,57.79,58,48,12.17,scattered clouds
2,Iquitos,PE,-3.7481,-73.2472,77.04,94,75,1.14,broken clouds
3,Fez,MA,34.0372,-4.9998,44.71,60,70,3.44,broken clouds
4,Mataura,NZ,-46.1927,168.8643,57.47,38,47,6.93,scattered clouds
5,Bethel,US,41.3712,-73.414,21.56,60,1,4.81,clear sky
6,Severo-Kurilsk,RU,50.6789,156.125,26.44,67,88,27.45,overcast clouds
7,Balaipungut,ID,1.05,101.2833,77.41,74,100,2.68,overcast clouds
8,Abu Kamal,SY,34.4506,40.9171,46.98,62,59,16.22,broken clouds
9,Leua,SK,48.2156,18.6071,36.5,93,100,6.46,overcast clouds
10,Port Alfred,ZA,-33.5906,26.891,72.48,92,92,2.59,overcast clouds
11,Port Lincoln,AU,-34.7333,135.8667,76.33,68,9,5.82,clear sky
12,Ilulissat,GL,69.2167,-51.1,6.39,73,100,9.57,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,49.66,76,40,27.63,scattered clouds
14,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,20,14.97,few clouds
15,Atuona,PF,-9.8,-139.0333,78.76,80,17,18.92,light rain
16,Punta Arenas,CL,-53.15,-70.9167,50.11,76,40,28.77,scattered clouds
17,Mae Ramat,TH,16.984,98.5166,62.92,36,1,0.54,clear sky
18,Upernavik,GL,72.7868,-56.1549,5.11,85,100,11.54,overcast clouds
19,Port Macquarie,AU,-31.4333,152.9167,78.76,59,54,9.37,broken clouds
20,Sars,RU,56.5502,57.1366,12.97,93,100,10.56,overcast clouds
21,Busselton,AU,-33.65,115.3333,73.04,42,0,9.71,clear sky
22,Fonte Boa,BR,-2.4959,-66.2662,73.4,98,100,0.49,overcast clouds
23,Khovu-Aksy,RU,51.1333,93.6,-9.54,89,100,4.97,overcast clouds
24,Kieta,PG,-6.2167,155.6333,82.06,79,100,5.41,overcast clouds
25,Likasi,CD,-10.9814,26.7333,60.49,96,100,3.69,overcast clouds
26,Peniche,PT,39.3558,-9.3811,54.88,70,83,10.0,broken clouds
27,Komsomolskiy,UZ,40.4272,71.7189,29.62,80,0,2.3,mist
28,Talnakh,RU,69.4865,88.3972,2.21,96,100,14.92,light snow
29,Parfino,RU,57.9731,31.6481,18.41,91,100,9.4,overcast clouds
30,Yakeshi,CN,49.2833,120.7333,-8.34,97,100,3.87,overcast clouds
31,Ribeira Grande,PT,38.5167,-28.7,59.72,79,21,13.31,few clouds
32,Pacific Grove,US,36.6177,-121.9166,59.4,84,0,5.01,light rain
33,Manzhouli,CN,49.6,117.4333,-5.06,94,41,4.92,scattered clouds
