City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ambilobe,MG,2022-01-25 03:01:04,-13.2,49.05,71.06,94,100,0.76
1,Kloulklubed,PW,2022-01-25 03:01:04,7.0419,134.2556,84.7,79,95,17.36
2,Rikitea,PF,2022-01-25 03:01:05,-23.1203,-134.9692,78.55,72,100,18.45
3,Bredasdorp,ZA,2022-01-25 03:01:05,-34.5322,20.0403,68.29,81,93,9.26
4,Vayalar,IN,2022-01-25 03:01:05,9.7,76.3333,69.78,73,72,7.49
5,Acoyapa,NI,2022-01-25 03:01:06,11.9703,-85.1711,71.71,86,1,8.52
6,Cape Town,ZA,2022-01-25 02:58:44,-33.9258,18.4232,67.1,89,20,12.66
7,Jamestown,US,2022-01-25 03:01:06,42.097,-79.2353,25.02,53,100,7.0
8,Cherskiy,RU,2022-01-25 02:56:11,68.75,161.3,-33.77,100,100,5.35
9,Mataura,NZ,2022-01-25 03:01:07,-46.1927,168.8643,61.48,48,100,5.91
10,Cairns,AU,2022-01-25 03:01:07,-16.9167,145.7667,91.06,79,100,12.66
11,Saint-Philippe,RE,2022-01-25 03:01:08,-21.3585,55.7679,74.79,68,59,13.44
12,Paamiut,GL,2022-01-25 03:01:08,61.994,-49.6678,24.94,78,100,14.61
13,Dali,CN,2022-01-25 03:01:09,25.7,100.1833,44.58,92,100,3.29
14,Okakarara,NA,2022-01-25 03:01:09,-20.5833,17.4333,66.15,45,18,3.85
15,May Pen,JM,2022-01-25 03:01:10,17.9645,-77.2451,72.21,85,0,3.42
16,Carson City,US,2022-01-25 03:00:15,39.1638,-119.7674,45.46,58,0,0.0
17,Nanortalik,GL,2022-01-25 03:01:10,60.1432,-45.2371,26.83,62,100,19.48
18,Gravdal,NO,2022-01-25 03:01:11,68.1214,13.5031,34.14,60,100,31.09
19,Provideniya,RU,2022-01-25 03:01:11,64.3833,-173.3,5.11,72,100,11.18
20,Cabo San Lucas,MX,2022-01-25 03:01:06,22.8909,-109.9124,68.5,71,2,2.13
21,San Patricio,US,2022-01-25 03:01:12,28.017,-97.5169,52.84,93,26,4.61
22,Montepuez,MZ,2022-01-25 03:01:12,-13.1256,38.9997,68.5,97,100,10.76
23,San-Pedro,CI,2022-01-25 03:01:12,4.7485,-6.6363,74.68,90,14,3.78
24,Atuona,PF,2022-01-25 03:01:13,-9.8,-139.0333,78.69,74,12,18.63
25,Makakilo City,US,2022-01-25 03:01:13,21.3469,-158.0858,74.68,62,0,12.37
26,Zhangye,CN,2022-01-25 03:01:14,38.9342,100.4517,25.61,37,100,5.01
27,Punta Arenas,CL,2022-01-25 02:57:21,-53.15,-70.9167,46.51,71,20,33.38
28,Tiksi,RU,2022-01-25 03:01:14,71.6872,128.8694,-7.89,97,100,9.26
29,Kailua,US,2022-01-25 03:01:02,21.4022,-157.7394,76.14,69,8,3.0
30,Gautier,US,2022-01-25 03:01:15,30.3858,-88.6117,50.09,92,100,5.73
31,Salalah,OM,2022-01-25 03:01:15,17.0151,54.0924,63.37,47,27,12.55
32,Mookane,BW,2022-01-25 03:01:16,-23.688,26.6595,68.99,58,25,5.14
33,Mitsamiouli,KM,2022-01-25 03:01:16,-11.3847,43.2844,82.18,76,97,18.07
34,Half Moon Bay,US,2022-01-25 03:01:16,37.4636,-122.4286,55.62,81,0,9.22
35,Bluff,NZ,2022-01-25 03:01:17,-46.6,168.3333,61.81,72,100,15.01
36,Carsamba,TR,2022-01-25 03:01:17,41.1989,36.7219,28.08,79,37,6.06
37,Hobart,AU,2022-01-25 03:01:04,-42.8794,147.3294,73.02,83,75,11.5
38,Pacific Grove,US,2022-01-25 02:59:29,36.6177,-121.9166,55.8,84,0,1.99
39,Clonakilty,IE,2022-01-25 03:01:18,51.6231,-8.8706,45.09,83,100,4.7
40,Kapaa,US,2022-01-25 03:01:19,22.0752,-159.319,75.11,59,0,1.01
41,Albany,US,2022-01-25 02:59:11,42.6001,-73.9662,26.8,82,100,1.01
42,Pevek,RU,2022-01-25 03:01:19,69.7008,170.3133,-16.89,98,100,6.38
43,Gunnedah,AU,2022-01-25 03:01:20,-30.9833,150.25,83.82,53,100,13.22
44,Vaini,TO,2022-01-25 03:01:20,-21.2,-175.2,80.83,75,17,15.73
45,Chokurdakh,RU,2022-01-25 03:02:21,70.6333,147.9167,-17.37,99,100,5.12
46,Yellowknife,CA,2022-01-25 02:59:35,62.456,-114.3525,-6.59,84,20,13.8
47,Lata,PT,2022-01-25 03:02:21,40.1629,-8.3327,46.81,85,0,4.56
48,Kyshtovka,RU,2022-01-25 03:02:22,56.555,76.6271,6.03,91,100,7.14
49,Kieta,PG,2022-01-25 03:02:22,-6.2167,155.6333,86.16,73,98,7.14
50,Binzhou,CN,2022-01-25 03:02:23,37.3667,118.0167,37.27,41,14,3.69
51,Santo Nino,PH,2022-01-25 03:02:23,6.435,124.6975,85.51,67,72,2.06
52,Rawson,AR,2022-01-25 03:00:57,-43.3002,-65.1023,71.04,36,0,19.06
53,Ushuaia,AR,2022-01-25 03:02:24,-54.8,-68.3,39.43,97,96,4.9
54,Touros,BR,2022-01-25 03:02:24,-5.1989,-35.4608,79.41,80,100,10.04
